JRNL,YEAR,EST,NPAPR,NPWP,JIF,OA,SUBJ,PAP
Acta Oncologica,2011,0.12096285,281,32,3.33,0,ONC,0.113879004
Acta Oncologica,2012,0.354287493,281,61,2.867,0,ONC,0.217081851
Acta Oncologica,2013,0.14441801,350,93,3.71,0,ONC,0.265714286
Acta Oncologica,2014,0.156856873,300,79,2.997,0,ONC,0.263333333
Acta Oncologica,2015,0.008297332,352,87,3.73,0,ONC,0.247159091
Am J Med,2011,0.15355453,326,60,5.43,0,GEN,0.18404908
Am J Med,2012,0.114533579,378,68,4.768,0,GEN,0.17989418
Am J Med,2013,0.136109389,538,89,5.302,0,GEN,0.165427509
Am J Med,2014,0.107501025,593,87,5.003,0,GEN,0.146711636
Am J Med,2015,0.038974458,612,78,5.61,0,GEN,0.12745098
Am J Med Sci,2011,0.0872549,240,39,1.391,0,GEN,0.1625
Am J Med Sci,2012,0.259042819,234,41,1.334,0,GEN,0.175213675
Am J Med Sci,2013,0.197597876,234,41,1.515,0,GEN,0.175213675
Am J Med Sci,2014,0.318139135,206,51,1.389,0,GEN,0.247572816
Am J Med Sci,2015,0.320126933,247,60,1.575,0,GEN,0.24291498
Am J Prev Med,2011,0.091013753,314,46,4.044,0,GEN,0.146496815
Am J Prev Med,2012,0.212103163,311,49,3.945,0,GEN,0.15755627
Am J Prev Med,2013,0.187402297,310,49,4.281,0,GEN,0.158064516
Am J Prev Med,2014,0.023603112,323,62,4.527,0,GEN,0.191950464
Am J Prev Med,2015,0.037571325,428,90,4.465,0,GEN,0.210280374
Ann Intern Med,2011,0.122483758,596,35,16.733,0,GEN,0.058724832
Ann Intern Med,2012,0.1501436,593,29,13.976,0,GEN,0.048903879
Ann Intern Med,2013,0.081683904,658,37,16.104,0,GEN,0.056231003
Ann Intern Med,2014,0.339389418,669,19,17.81,0,GEN,0.028400598
Ann Intern Med,2015,0.0271278,772,10,16.593,0,GEN,0.012953368
Ann Med,2011,0.28318337,135,25,3.516,0,GEN,0.185185185
Ann Med,2012,0.281627539,128,24,5.094,0,GEN,0.1875
Ann Med,2013,0.163472851,72,18,4.733,0,GEN,0.25
Ann Med,2014,0.128341283,91,15,3.886,0,GEN,0.164835165
Ann Med,2015,0.118967369,88,33,3.763,0,GEN,0.375
Ann Oncol,2011,0.209230181,730,219,6.425,0,ONC,0.3
Ann Oncol,2012,0.158414923,764,247,7.384,0,ONC,0.323298429
Ann Oncol,2013,0.197636938,641,216,6.578,0,ONC,0.336973479
Ann Oncol,2014,0.253864968,541,203,7.04,0,ONC,0.375231054
Ann Oncol,2015,0.229281398,547,175,9.269,0,ONC,0.319926874
Ann Surg Oncol,2011,0.220261813,906,332,4.166,0,ONC,0.366445916
Ann Surg Oncol,2012,0.258762013,898,410,4.12,0,ONC,0.456570156
Ann Surg Oncol,2013,0.271140233,871,354,3.943,0,ONC,0.406429392
Ann Surg Oncol,2014,0.220556637,1038,379,3.93,0,ONC,0.365125241
Ann Surg Oncol,2015,0.157914097,1069,453,3.655,0,ONC,0.423760524
BMC Cancer,2011,0.218826471,526,149,3.011,1,ONC,0.283269962
BMC Cancer,2012,0.274376238,627,191,3.333,1,ONC,0.304625199
BMC Cancer,2013,0.348010154,618,176,3.319,1,ONC,0.284789644
BMC Cancer,2014,0.288803789,992,306,3.362,1,ONC,0.308467742
BMC Cancer,2015,0.411991201,1028,315,3.265,1,ONC,0.306420234
BMC Fam Pract,2011,0.189399304,144,31,1.799,1,GEN,0.215277778
BMC Fam Pract,2012,0.24100265,129,11,1.609,1,GEN,0.085271318
BMC Fam Pract,2013,0.245507768,201,26,1.735,1,GEN,0.129353234
BMC Fam Pract,2014,0.308942492,211,29,1.669,1,GEN,0.137440758
BMC Fam Pract,2015,0.136008506,182,25,1.641,1,GEN,0.137362637
BMC Med,2011,0.378425462,139,25,6.035,1,GEN,0.179856115
BMC Med,2012,0.222521596,172,17,6.679,1,GEN,0.098837209
BMC Med,2013,0.000172206,261,40,7.276,1,GEN,0.153256705
