JRNL,YEAR,EST,NPAPR,NPVAL,JIF,OA,SUBJ
Acta Oncologica,2011,0.1209628498,281,101,3.33,0,ONC
Acta Oncologica,2012,0.3542874933,281,176,2.867,0,ONC
Acta Oncologica,2013,0.1444180096,350,267,3.71,0,ONC
Acta Oncologica,2014,0.1568568732,300,238,2.997,0,ONC
Acta Oncologica,2015,0.0082973315,352,284,3.73,0,ONC
Am J Med,2011,0.1535545304,326,170,5.43,0,GEN
Am J Med,2012,0.1145335785,378,173,4.768,0,GEN
Am J Med,2013,0.1361093891,538,255,5.302,0,GEN
Am J Med,2014,0.1075010246,593,237,5.003,0,GEN
Am J Med,2015,0.0389744582,612,188,5.61,0,GEN
Am J Med Sci,2011,0.0872548996,240,115,1.391,0,GEN
Am J Med Sci,2012,0.2590428185,234,116,1.334,0,GEN
Am J Med Sci,2013,0.197597876,234,135,1.515,0,GEN
Am J Med Sci,2014,0.318139135,206,144,1.389,0,GEN
Am J Med Sci,2015,0.3201269329,247,164,1.575,0,GEN
Am J Prev Med,2011,0.0910137531,314,119,4.044,0,GEN
Am J Prev Med,2012,0.2121031633,311,129,3.945,0,GEN
Am J Prev Med,2013,0.1874022972,310,111,4.281,0,GEN
Am J Prev Med,2014,0.0236031124,323,157,4.527,0,GEN
Am J Prev Med,2015,0.0375713253,428,232,4.465,0,GEN
Ann Intern Med,2011,0.122483758,596,78,16.733,0,GEN
Ann Intern Med,2012,0.1501436003,593,81,13.976,0,GEN
Ann Intern Med,2013,0.0816839036,658,103,16.104,0,GEN
Ann Intern Med,2014,0.3393894178,669,36,17.81,0,GEN
Ann Intern Med,2015,0.0271277997,772,26,16.593,0,GEN
Ann Med,2011,0.2831833701,135,90,3.516,0,GEN
Ann Med,2012,0.2816275391,128,83,5.094,0,GEN
Ann Med,2013,0.1634728509,72,63,4.733,0,GEN
Ann Med,2014,0.1283412834,91,70,3.886,0,GEN
Ann Med,2015,0.1189673687,88,96,3.763,0,GEN
Ann Oncol,2011,0.2092301807,730,621,6.425,0,ONC
Ann Oncol,2012,0.158414923,764,705,7.384,0,ONC
Ann Oncol,2013,0.1976369382,641,646,6.578,0,ONC
Ann Oncol,2014,0.253864968,541,663,7.04,0,ONC
Ann Oncol,2015,0.2292813981,547,549,9.269,0,ONC
Ann Surg Oncol,2011,0.2202618125,906,1128,4.166,0,ONC
Ann Surg Oncol,2012,0.2587620133,898,1522,4.12,0,ONC
Ann Surg Oncol,2013,0.2711402329,871,1281,3.943,0,ONC
Ann Surg Oncol,2014,0.2205566371,1038,1354,3.93,0,ONC
Ann Surg Oncol,2015,0.1579140974,1069,1658,3.655,0,ONC
BMC Cancer,2011,0.2188264714,526,488,3.011,1,ONC
BMC Cancer,2012,0.2743762375,627,723,3.333,1,ONC
BMC Cancer,2013,0.3480101539,618,578,3.319,1,ONC
