JRNL,YEAR,EST,NPAPR,NPWP,JIF,OA,SUBJ,PAP
Acta Oncologica,2011,0.1209628498,281,32,3.33,0,ONC,0.1138790036
Acta Oncologica,2012,0.3542874933,281,61,2.867,0,ONC,0.2170818505
Acta Oncologica,2013,0.1444180096,350,93,3.71,0,ONC,0.2657142857
Acta Oncologica,2014,0.1568568732,300,79,2.997,0,ONC,0.2633333333
Acta Oncologica,2015,0.0082973315,352,87,3.73,0,ONC,0.2471590909
Am J Med,2011,0.1535545304,326,60,5.43,0,GEN,0.1840490798
Am J Med,2012,0.1145335785,378,68,4.768,0,GEN,0.1798941799
Am J Med,2013,0.1361093891,538,89,5.302,0,GEN,0.1654275093
Am J Med,2014,0.1075010246,593,87,5.003,0,GEN,0.1467116358
Am J Med,2015,0.0389744582,612,78,5.61,0,GEN,0.1274509804
Am J Med Sci,2011,0.0872548996,240,39,1.391,0,GEN,0.1625
Am J Med Sci,2012,0.2590428185,234,41,1.334,0,GEN,0.1752136752
Am J Med Sci,2013,0.197597876,234,41,1.515,0,GEN,0.1752136752
Am J Med Sci,2014,0.318139135,206,51,1.389,0,GEN,0.2475728155
Am J Med Sci,2015,0.3201269329,247,60,1.575,0,GEN,0.2429149798
Am J Prev Med,2011,0.0910137531,314,46,4.044,0,GEN,0.1464968153
Am J Prev Med,2012,0.2121031633,311,49,3.945,0,GEN,0.1575562701
Am J Prev Med,2013,0.1874022972,310,49,4.281,0,GEN,0.1580645161
Am J Prev Med,2014,0.0236031124,323,62,4.527,0,GEN,0.1919504644
Am J Prev Med,2015,0.0375713253,428,90,4.465,0,GEN,0.2102803738
Ann Intern Med,2011,0.122483758,596,35,16.733,0,GEN,0.0587248322
Ann Intern Med,2012,0.1501436003,593,29,13.976,0,GEN,0.0489038786
Ann Intern Med,2013,0.0816839036,658,37,16.104,0,GEN,0.056231003
Ann Intern Med,2014,0.3393894178,669,19,17.81,0,GEN,0.0284005979
Ann Intern Med,2015,0.0271277997,772,10,16.593,0,GEN,0.0129533679
Ann Med,2011,0.2831833701,135,25,3.516,0,GEN,0.1851851852
Ann Med,2012,0.2816275391,128,24,5.094,0,GEN,0.1875
Ann Med,2013,0.1634728509,72,18,4.733,0,GEN,0.25
Ann Med,2014,0.1283412834,91,15,3.886,0,GEN,0.1648351648
Ann Med,2015,0.1189673687,88,33,3.763,0,GEN,0.375
Ann Oncol,2011,0.2092301807,730,219,6.425,0,ONC,0.3
Ann Oncol,2012,0.158414923,764,247,7.384,0,ONC,0.3232984293
Ann Oncol,2013,0.1976369382,641,216,6.578,0,ONC,0.3369734789
Ann Oncol,2014,0.253864968,541,203,7.04,0,ONC,0.3752310536
Ann Oncol,2015,0.2292813981,547,175,9.269,0,ONC,0.3199268739
Ann Surg Oncol,2011,0.2202618125,906,332,4.166,0,ONC,0.3664459161
Ann Surg Oncol,2012,0.2587620133,898,410,4.12,0,ONC,0.4565701559
Ann Surg Oncol,2013,0.2711402329,871,354,3.943,0,ONC,0.4064293915
Ann Surg Oncol,2014,0.2205566371,1038,379,3.93,0,ONC,0.3651252408
Ann Surg Oncol,2015,0.1579140974,1069,453,3.655,0,ONC,0.4237605239
BMC Cancer,2011,0.2188264714,526,149,3.011,1,ONC,0.283269962
BMC Cancer,2012,0.2743762375,627,191,3.333,1,ONC,0.3046251994
BMC Cancer,2013,0.3480101539,618,176,3.319,1,ONC,0.284789644
BMC Cancer,2014,0.2888037894,992,306,3.362,1,ONC,0.3084677419
BMC Cancer,2015,0.4119912012,1028,315,3.265,1,ONC,0.3064202335
BMC Fam Pract,2011,0.1893993042,144,31,1.799,1,GEN,0.2152777778
BMC Fam Pract,2012,0.2410026498,129,11,1.609,1,GEN,0.0852713178
BMC Fam Pract,2013,0.2455077677,201,26,1.735,1,GEN,0.1293532338
BMC Fam Pract,2014,0.3089424922,211,29,1.669,1,GEN,0.1374407583
BMC Fam Pract,2015,0.1360085062,182,25,1.641,1,GEN,0.1373626374
BMC Med,2011,0.3784254622,139,25,6.035,1,GEN,0.1798561151
BMC Med,2012,0.2225215957,172,17,6.679,1,GEN,0.0988372093
BMC Med,2013,0.0001722058,261,40,7.276,1,GEN,0.153256705
BMC Med,2014,0.1911599927,229,43,7.356,1,GEN,0.1877729258
