Journal Abbreviation,Subject,Access 2011-2015,Zero Estimate(s)
Acta Oncologica,Oncology,Closed,No
Am J Med,Medicine,Closed,No
Am J Med Sci,Medicine,Closed,No
Am J Prev Med,Medicine,Closed,No
Ann Intern Med,Medicine,Closed,No
Ann Med,Medicine,Closed,No
Ann Oncol,Oncology,Closed,No
Ann Surg Oncol,Oncology,Closed,No
BMC Cancer,Oncology,Open,No
BMC Fam Pract,Medicine,Open,No
BMC Med,Medicine,Open,No
BMJ,Medicine,Closed,No
Bone Marrow Transplant,Oncology,Closed,No
Br J Cancer,Oncology,Closed,No
Br J Gen Pract,Medicine,Closed,Yes
Breast Cancer Res,Oncology,Open,No
Breast Cancer Res Treat,Oncology,Closed,No
Cancer Cytopathol,Oncology,Closed,No
Cancer Epidemiol Biomarkers Prev,Oncology,Closed,No
Cancer Immunol Immunother,Oncology,Closed,No
Cancer Lett,Oncology,Closed,No
Cancer Res,Oncology,Closed,No
Cancer Sci,Oncology,Both,No
Carcinogenesis,Oncology,Closed,No
Chemotherapy,Oncology,Closed,No
Clin Breast Cancer,Oncology,Closed,No
Clin Cancer Res,Oncology,Closed,No
Clin Exp Med,Medicine,Closed,No
Clin Lung Cancer,Oncology,Closed,No
Clin Sci,Medicine,Closed,No
Clin Trials,Medicine,Closed,Yes
Curr Med Res Opin,Medicine,Closed,No
Curr Oncol,Oncology,Closed,Yes
Dis Markers,Medicine,Open,No
Endocr Relat Cancer,Oncology,Closed,No
Eur J Cancer,Oncology,Closed,No
Eur J Clin Invest,Medicine,Closed,No
Eur J Gynaecol Oncol,Oncology,Closed,No
Eur J Intern Med,Medicine,Closed,No
Eur J Med Res,Medicine,Both,Yes
Exp Ther Med,Medicine,Closed,No
Gastric Cancer,Oncology,Closed,No
Genes Chromosomes Cancer,Oncology,Closed,No
Int J Biol Markers,Oncology,Closed,No
Int J Med Sci,Medicine,Closed,No
Integr Cancer Ther,Oncology,Open,No
Intern Med,Medicine,Closed,No
Intern Med J,Medicine,Closed,No
J Biomed Sci,Medicine,Open,No
J Cancer Res Clin Oncol,Oncology,Closed,No
J Cancer Res Ther,Oncology,Open,No
J Cell Mol Med,Medicine,Both,Yes
J Chemother,Oncology,Closed,No
J Clin Oncol,Oncology,Closed,No
J Exp Clin Cancer Res,Oncology,Open,No
J Gen Intern Med,Medicine,Closed,No
J Hematol Oncol,Oncology,Open,No
J Intern Med,Medicine,Closed,No
J Investig Med,Medicine,Closed,No
J Natl Cancer Inst,Oncology,Closed,No
J Neurooncol,Oncology,Closed,No
J Pathol,Oncology,Closed,No
J Postgrad Med,Medicine,Open,No
J Res Med Sci,Medicine,Both,No
J Surg Oncol,Oncology,Closed,No
J Thorac Oncol,Oncology,Closed,No
J Transl Med,Medicine,Open,No
JAMA,Medicine,Closed,No
Lancet,Medicine,Closed,No
Lancet Oncol,Oncology,Closed,No
Leuk Lymphoma,Oncology,Closed,No
Leukemia,Oncology,Closed,No
Life Sci,Medicine,Closed,No
Lung Cancer,Oncology,Closed,No
Med Hypotheses,Medicine,Closed,No
Med J Aust,Medicine,Closed,No
Medicine,Medicine,Both,No
Mol Cancer,Oncology,Open,No
Mol Cancer Res,Oncology,Closed,Yes
Mol Carcinog,Oncology,Closed,No
Mol Med,Medicine,Open,No
Mol Oncol,Oncology,Closed,Yes
Mol Ther,Medicine,Closed,Yes
Nanomedicine,Medicine,Closed,Yes
NEJM,Medicine,Closed,No
Neoplasia,Oncology,Open,No
Neuro Oncol,Oncology,Closed,No
Oncogene,Oncology,Closed,No
Oncologist,Oncology,Closed,No
Oncology,Oncology,Closed,No
Oncotarget,Oncology,Closed,No
Oral Oncol,Oncology,Closed,No
Orphanet J Rare Dis,Medicine,Open,No
Patient Prefer Adherence,Medicine,Open,No
Pediatr Hematol Oncol,Medicine,Closed,No
PloS Med,Medicine,Open,No
Prev Med,Medicine,Closed,No
Prostate Cancer Prostatic Dis,Oncology,Closed,No
Psychooncology,Oncology,Closed,No
Radiat Oncol,Oncology,Open,No
Radiol Oncol,Oncology,Open,No
Radiother Oncol,Oncology,Closed,No
Surg Oncol,Oncology,Closed,Yes
Target Oncol,Oncology,Closed,No
Thorac Cancer,Oncology,Both,Yes
Transl Oncol,Oncology,Open,No
Trials,Medicine,Open,No
World J Surg Oncol,Oncology,Open,No
